Diametro,Amostragem
74030,1
74002,1
74019,1
73992,1
74008,1
73995,2
73992,2
74001,2
74011,2
74004,2
73988,3
74024,3
74021,3
74005,3
74002,3
74002,4
73996,4
73993,4
74015,4
74009,4
73992,5
74007,5
74015,5
73989,5
74014,5
74009,6
73994,6
73997,6
73985,6
73993,6
73995,7
74006,7
73994,7
74000,7
74005,7
73985,8
74003,8
73993,8
74015,8
73988,8
74008,9
73995,9
74009,9
74005,9
74004,9
73998,10
74000,10
73990,10
74007,10
73995,10
73994,11
73998,11
73994,11
73995,11
73990,11
74004,12
74000,12
74007,12
74000,12
73996,12
73983,13
74002,13
73998,13
73997,13
74012,13
74006,14
73967,14
73994,14
74000,14
73984,14
74012,15
74014,15
73998,15
73999,15
74007,15
74000,16
73984,16
74005,16
73998,16
73996,16
73994,17
74012,17
73986,17
74005,17
74007,17
74006,18
74010,18
74018,18
74003,18
74000,18
73984,19
74002,19
74003,19
74005,19
73997,19
74000,20
74010,20
74013,20
74020,20
74003,20
73988,21
74001,21
74009,21
74005,21
73996,21
74004,22
73999,22
73990,22
74006,22
74009,22
74010,23
73989,23
73990,23
74009,23
74014,23
74015,24
74008,24
73993,24
74000,24
74010,24
73982,25
73984,25
73995,25
74017,25
74013,25
74012,26
74015,26
74030,26
73986,26
74000,26
73995,27
74010,27
73990,27
74015,27
74001,27
73987,28
73999,28
73985,28
74000,28
73990,28
74008,29
74010,29
74003,29
73991,29
74006,29
74003,30
74000,30
74001,30
73986,30
73997,30
73994,31
74003,31
74015,31
74020,31
74004,31
74008,32
74002,32
74018,32
73995,32
74005,32
74001,33
74004,33
73990,33
73996,33
73998,33
74015,34
74000,34
74016,34
74025,34
74000,34
74030,35
74005,35
74000,35
74016,35
74012,35
74001,36
73990,36
73995,36
74010,36
74024,36
74015,37
74020,37
74024,37
74005,37
74019,37
74035,38
74010,38
74012,38
74015,38
74026,38
74017,39
74013,39
74036,39
74025,39
74026,39
74010,40
74005,40
74029,40
74000,40
74020,40